Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tes Suite Sauce Demo,Edge Chromium 116,,,2023-08-31 12:38:31,2023-08-31 12:46:15,7m - 44.265s,FAILED
,,,,,,,
Test Cases/Logout/logout,Edge Chromium 116,User melakukan logout dari hamburger,,2023-08-31 12:38:31,2023-08-31 12:38:46,14.777s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:38:31,2023-08-31 12:38:44,12.887s,PASSED
"click(findTestObject(""Logout/button_burger""))",Edge Chromium 116,,,2023-08-31 12:38:44,2023-08-31 12:38:45,0.432s,PASSED
"click(findTestObject(""Logout/button_logout""))",Edge Chromium 116,,,2023-08-31 12:38:45,2023-08-31 12:38:45,0.570s,PASSED
"verifyElementPresent(findTestObject(""login/button_login""), 0)",Edge Chromium 116,,,2023-08-31 12:38:45,2023-08-31 12:38:46,0.471s,PASSED
,,,,,,,
Test Cases/Login/TC-Login-Failed-002,Edge Chromium 116,User login hanya menggunakan Username,,2023-08-31 12:38:46,2023-08-31 12:38:54,8.378s,FAILED
openBrowser(url),Edge Chromium 116,,,2023-08-31 12:38:46,2023-08-31 12:38:52,5.695s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-31 12:38:52,2023-08-31 12:38:52,0.149s,PASSED
"setText(findTestObject(""login/input_username""), username)",Edge Chromium 116,,,2023-08-31 12:38:52,2023-08-31 12:38:53,0.818s,PASSED
"click(findTestObject(""login/button_login""))",Edge Chromium 116,,,2023-08-31 12:38:53,2023-08-31 12:38:53,0.451s,PASSED
"verifyElementText(findTestObject(""login/error_message_""), ""Login failed! Please ensure the password are valid."")",Edge Chromium 116,,,2023-08-31 12:38:53,2023-08-31 12:38:54,0.956s,FAILED
,,,,,,,
Test Cases/Login/TC-Login-Failed-003,Edge Chromium 116,User hanya login menggunakan password yang valid saja tidak menyertakan username,,2023-08-31 12:38:54,2023-08-31 12:39:02,7.633s,PASSED
openBrowser(url),Edge Chromium 116,,,2023-08-31 12:38:54,2023-08-31 12:39:00,5.439s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-31 12:39:00,2023-08-31 12:39:00,0.146s,PASSED
"setEncryptedText(findTestObject(""login/input_password""), password)",Edge Chromium 116,,,2023-08-31 12:39:00,2023-08-31 12:39:01,0.582s,PASSED
"click(findTestObject(""login/button_login""))",Edge Chromium 116,,,2023-08-31 12:39:01,2023-08-31 12:39:01,0.449s,PASSED
"verifyElementText(findTestObject(""login/error_message_""), ""Epic sadface: Username is required"")",Edge Chromium 116,,,2023-08-31 12:39:01,2023-08-31 12:39:02,0.576s,PASSED
,,,,,,,
Test Cases/Login/TC-Login-Failed-004,Edge Chromium 116,User ketika user login tidak menggunakan password dan username,,2023-08-31 12:39:02,2023-08-31 12:39:09,6.891s,PASSED
openBrowser(url),Edge Chromium 116,,,2023-08-31 12:39:02,2023-08-31 12:39:07,5.519s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-31 12:39:07,2023-08-31 12:39:08,0.153s,PASSED
"click(findTestObject(""login/button_login""))",Edge Chromium 116,,,2023-08-31 12:39:08,2023-08-31 12:39:08,0.487s,PASSED
"verifyElementText(findTestObject(""login/error_message_""), ""Epic sadface: Username is required"")",Edge Chromium 116,,,2023-08-31 12:39:08,2023-08-31 12:39:09,0.454s,PASSED
,,,,,,,
Test Cases/Login/TC-Login-Locked-001,Edge Chromium 116,User login dengan akun username yang terblokir,,2023-08-31 12:39:09,2023-08-31 12:39:19,10.531s,PASSED
openBrowser(url),Edge Chromium 116,,,2023-08-31 12:39:09,2023-08-31 12:39:16,7.510s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-31 12:39:16,2023-08-31 12:39:17,0.137s,PASSED
"setText(findTestObject(""login/input_username""), ""locked_out_user"")",Edge Chromium 116,,,2023-08-31 12:39:17,2023-08-31 12:39:17,0.922s,PASSED
"setEncryptedText(findTestObject(""login/input_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 116,,,2023-08-31 12:39:17,2023-08-31 12:39:18,0.487s,PASSED
"click(findTestObject(""login/button_login""))",Edge Chromium 116,,,2023-08-31 12:39:18,2023-08-31 12:39:19,0.648s,PASSED
"verifyElementText(findTestObject(""login/error_message_user_locked_out""), ""Epic sadface: Sorry, this user has been locked out."")",Edge Chromium 116,,,2023-08-31 12:39:19,2023-08-31 12:39:19,0.531s,PASSED
,,,,,,,
Test Cases/Login/TC-Login-Success-001,Edge Chromium 116,User memasukkan username dan password yang valid,,2023-08-31 12:39:19,2023-08-31 12:39:31,12.124s,PASSED
openBrowser(url),Edge Chromium 116,,,2023-08-31 12:39:19,2023-08-31 12:39:26,6.442s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-31 12:39:26,2023-08-31 12:39:26,0.139s,PASSED
"setText(findTestObject(""login/input_username""), username)",Edge Chromium 116,,,2023-08-31 12:39:26,2023-08-31 12:39:27,0.863s,PASSED
"setEncryptedText(findTestObject(""login/input_password""), password)",Edge Chromium 116,,,2023-08-31 12:39:27,2023-08-31 12:39:27,0.477s,PASSED
"click(findTestObject(""login/button_login""))",Edge Chromium 116,,,2023-08-31 12:39:27,2023-08-31 12:39:28,0.621s,PASSED
"verifyElementPresent(findTestObject(""Products/title_product""), 0)",Edge Chromium 116,,,2023-08-31 12:39:28,2023-08-31 12:39:28,0.531s,PASSED
