Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tes Suite Heroku App,Edge Chromium 115,,,2023-08-25 15:56:04,2023-08-25 15:59:52,3m - 48.746s,FAILED
,,,,,,,
Test Cases/Login/Test Case 1.1 (Cara Manual),Edge Chromium 115,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 15:56:04,2023-08-25 15:56:19,15.075s,PASSED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:56:04,2023-08-25 15:56:13,8.891s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:56:13,2023-08-25 15:56:14,0.237s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:56:14,2023-08-25 15:56:14,0.465s,PASSED
"click(findTestObject(""Login Manual/burger_button""))",Edge Chromium 115,,,2023-08-25 15:56:14,2023-08-25 15:56:15,0.595s,PASSED
"click(findTestObject(""Login Manual/burger_button_login""))",Edge Chromium 115,,,2023-08-25 15:56:15,2023-08-25 15:56:16,0.965s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/Title_Login""), 0)",Edge Chromium 115,,,2023-08-25 15:56:16,2023-08-25 15:56:16,0.487s,PASSED
"setText(findTestObject(""Login Manual/input_Username""), Username)",Edge Chromium 115,,,2023-08-25 15:56:16,2023-08-25 15:56:17,0.841s,PASSED
"setEncryptedText(findTestObject(""Login Manual/input_Password""), password)",Edge Chromium 115,,,2023-08-25 15:56:17,2023-08-25 15:56:17,0.589s,PASSED
"click(findTestObject(""Login Manual/button_Login (1)""))",Edge Chromium 115,,,2023-08-25 15:56:17,2023-08-25 15:56:19,1.114s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_Make Appointment""), 5)",Edge Chromium 115,,,2023-08-25 15:56:19,2023-08-25 15:56:19,0.416s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.2,Edge Chromium 115,Negative test case,,2023-08-25 15:56:19,2023-08-25 15:56:38,18.536s,PASSED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:56:19,2023-08-25 15:56:28,9.069s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:56:28,2023-08-25 15:56:29,0.172s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:56:29,2023-08-25 15:56:29,0.392s,PASSED
"click(findTestObject(""Login Manual/burger_button""))",Edge Chromium 115,,,2023-08-25 15:56:29,2023-08-25 15:56:29,0.518s,PASSED
"click(findTestObject(""Login Manual/burger_button_login""))",Edge Chromium 115,,,2023-08-25 15:56:29,2023-08-25 15:56:30,0.955s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/Title_Login""), 0)",Edge Chromium 115,,,2023-08-25 15:56:30,2023-08-25 15:56:31,0.468s,PASSED
"setText(findTestObject(""Login Manual/input_Username""), username)",Edge Chromium 115,,,2023-08-25 15:56:31,2023-08-25 15:56:32,0.859s,PASSED
"setEncryptedText(findTestObject(""Login Manual/input_Password""), password)",Edge Chromium 115,,,2023-08-25 15:56:32,2023-08-25 15:56:32,0.475s,PASSED
"click(findTestObject(""Login Manual/button_Login (1)""))",Edge Chromium 115,,,2023-08-25 15:56:32,2023-08-25 15:56:33,1.091s,PASSED
"verifyElementText(findTestObject(""Login Negative/Error_Login failed Please ensure the username and password are valid""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 115,,,2023-08-25 15:56:33,2023-08-25 15:56:34,0.434s,PASSED
delay(3),Edge Chromium 115,,,2023-08-25 15:56:34,2023-08-25 15:56:37,3.035s,PASSED
closeBrowser(),Edge Chromium 115,,,2023-08-25 15:56:37,2023-08-25 15:56:38,0.793s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.3,Edge Chromium 115,Test case when user input valid username and user didn't input password,,2023-08-25 15:56:38,2023-08-25 15:56:50,12.696s,FAILED
