Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
report collection heroku App,Edge Chromium 116,"report hasil testing login, appoitment, history, dan logout",,2023-08-25 16:21:05,2023-08-25 16:25:47,4m - 42.089s,FAILED
,,,,,,,
Test Cases/Login/Test Case 1.1 (Manual),Edge Chromium 116,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 16:21:06,2023-08-25 16:21:23,17.149s,PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 16:21:06,2023-08-25 16:21:15,9.141s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-25 16:21:15,2023-08-25 16:21:15,0.191s,PASSED
"verifyElementPresent(findTestObject(""login/title_home_page""), 10)",Edge Chromium 116,,,2023-08-25 16:21:15,2023-08-25 16:21:16,0.628s,PASSED
"click(findTestObject(""login/menu burger""))",Edge Chromium 116,,,2023-08-25 16:21:16,2023-08-25 16:21:17,0.722s,PASSED
"click(findTestObject(""login/menu Login""))",Edge Chromium 116,,,2023-08-25 16:21:17,2023-08-25 16:21:19,1.804s,PASSED
"verifyElementPresent(findTestObject(""login/title_Login""), 10)",Edge Chromium 116,,,2023-08-25 16:21:19,2023-08-25 16:21:19,0.365s,PASSED
"setText(findTestObject(""login/input_Username""), username)",Edge Chromium 116,,,2023-08-25 16:21:19,2023-08-25 16:21:20,0.918s,PASSED
"setEncryptedText(findTestObject(""login/input_Password""), password)",Edge Chromium 116,,,2023-08-25 16:21:20,2023-08-25 16:21:20,0.530s,PASSED
"click(findTestObject(""login/button_Login""))",Edge Chromium 116,,,2023-08-25 16:21:20,2023-08-25 16:21:22,1.975s,PASSED
"verifyElementPresent(findTestObject(""login/Title_Make Appointment""), 10)",Edge Chromium 116,,,2023-08-25 16:21:22,2023-08-25 16:21:23,0.400s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.2 (Manual),Edge Chromium 116,Test Case ketika user login dengan menggunakan detail yang invalid.,,2023-08-25 16:21:23,2023-08-25 16:21:48,24.925s,PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 16:21:24,2023-08-25 16:21:31,7.471s,PASSED
"verifyElementPresent(findTestObject(""login/title_home_page""), 10)",Edge Chromium 116,,,2023-08-25 16:21:31,2023-08-25 16:21:32,0.430s,PASSED
"click(findTestObject(""login/menu burger""))",Edge Chromium 116,,,2023-08-25 16:21:32,2023-08-25 16:21:33,0.785s,PASSED
"click(findTestObject(""login/menu Login""))",Edge Chromium 116,,,2023-08-25 16:21:33,2023-08-25 16:21:34,1.221s,PASSED
"verifyElementPresent(findTestObject(""login/title_Login""), 10)",Edge Chromium 116,,,2023-08-25 16:21:34,2023-08-25 16:21:34,0.461s,PASSED
"setText(findTestObject(""login/input_Username""), username)",Edge Chromium 116,,,2023-08-25 16:21:34,2023-08-25 16:21:35,0.801s,PASSED
"setEncryptedText(findTestObject(""login/input_Password""), password)",Edge Chromium 116,,,2023-08-25 16:21:35,2023-08-25 16:21:35,0.500s,PASSED
"click(findTestObject(""login/button_Login""))",Edge Chromium 116,,,2023-08-25 16:21:35,2023-08-25 16:21:36,1.000s,PASSED
"verifyElementText(findTestObject(""login/error message login""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 116,,,2023-08-25 16:21:36,2023-08-25 16:21:37,0.570s,PASSED
delay(10),Edge Chromium 116,,,2023-08-25 16:21:37,2023-08-25 16:21:47,10.030s,PASSED
closeBrowser(),Edge Chromium 116,,,2023-08-25 16:21:47,2023-08-25 16:21:48,0.791s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.3,Edge Chromium 116,,,2023-08-25 16:21:48,2023-08-25 16:22:04,16.228s,PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 16:21:48,2023-08-25 16:21:54,6.306s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-25 16:21:54,2023-08-25 16:21:55,0.153s,PASSED
"verifyElementPresent(findTestObject(""login/title_home_page""), 3)",Edge Chromium 116,,,2023-08-25 16:21:55,2023-08-25 16:21:55,0.387s,PASSED
"click(findTestObject(""login/menu burger""))",Edge Chromium 116,,,2023-08-25 16:21:55,2023-08-25 16:21:55,0.380s,PASSED
"click(findTestObject(""login/menu Login""))",Edge Chromium 116,,,2023-08-25 16:21:55,2023-08-25 16:21:57,1.775s,PASSED
"verifyElementPresent(findTestObject(""login/title_Login""), 0)",Edge Chromium 116,,,2023-08-25 16:21:57,2023-08-25 16:21:58,0.648s,PASSED
"setText(findTestObject(""login/input_Username""), ""John Doe"")",Edge Chromium 116,,,2023-08-25 16:21:58,2023-08-25 16:21:59,0.918s,PASSED
"click(findTestObject(""login/button_Login""))",Edge Chromium 116,,,2023-08-25 16:21:59,2023-08-25 16:22:00,1.145s,PASSED
"verifyElementText(findTestObject(""login/error message login""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 116,,,2023-08-25 16:22:00,2023-08-25 16:22:00,0.408s,PASSED
delay(3),Edge Chromium 116,,,2023-08-25 16:22:00,2023-08-25 16:22:03,3.010s,PASSED
closeBrowser(),Edge Chromium 116,,,2023-08-25 16:22:03,2023-08-25 16:22:04,0.833s,PASSED
